Well_ID,X_GK,Y_GK,x_km,y_km,DRASTIC,Infiltration,Lithology,Land_Use_Soil,Topo_slope_pct,Unsaturated_Zone,Inside_Aquifer,K_mday,head_m,NO3_mgL
V187,4392769.415915771,4591163.297559792,11.018415915771387,14.919327559792437,129,,,,,,YES,,,
H246,4387498.133692899,4595194.051035881,5.747133692898788,18.950081035881304,132,,,,,,NO,,,
E461,4389540.478555122,4596082.650193639,7.789478555122391,19.83868019363936,134,,,,,,YES,,,
V460',4390011.851242661,4596548.924129661,8.260851242660545,20.304954129661432,134,,,,,,YES,,,
V443,4386800.487796045,4611668.020208031,5.049487796044908,35.4240502080312,128,,,,,,YES,,,
H335,4389251.583561431,4606693.428092785,7.500583561430685,30.44945809278544,143,,,,,,YES,,,
V334,4388832.835501712,4605465.494386915,7.081835501711816,29.221524386915377,143,,,,,,YES,,,
V323,4388961.693815293,4602849.918539539,7.210693815292791,26.60594853953924,139,,,,,,YES,,,
H236,4384576.882430982,4601814.306901291,2.825882430981845,25.570336901291274,139,,,,,,NO,,,
H235,4385586.51599181,4600702.133323655,3.835515991809778,24.458163323655725,139,,,,,,NO,,,
H75,4385788.786764514,4600054.080073541,4.037786764513701,23.810110073541292,139,,,,,,NO,,,
H423,4385760.52839266,4599118.476266323,4.009528392660432,22.874506266322918,139,,,,,,NO,,,
V332,4387873.451048217,4600132.598688809,6.122451048216782,23.88862868880946,139,,,,,,YES,,,
V526,4394695.333352338,4584414.442799855,12.94433335233759,8.170472799855284,141,,,,,,YES,,,
V2/97,4396319.878268097,4584516.757379483,14.568878268096595,8.272787379483692,141,,,,,,YES,,,
V94/87,4397752.008979583,4584569.903457997,16.00100897958316,8.325933457997628,141,,,,,,YES,,,
V58/87,4398892.032036118,4584331.48258457,17.141032036118208,8.087512584569865,141,,,,,,NO,,,
V60,4400133.718822963,4584401.906665094,18.382718822962605,8.157936665094457,141,,,,,,NO,,,
