X_GK,Y_GK,channel_azimuth_deg,source
4390851.0,4588143.97,116.8,river
4390851.0,4588843.97,108.0,river
4390851.0,4589543.97,101.6,river
4390851.0,4590243.97,101.0,river
4390851.0,4590943.97,97.3,river
4390851.0,4591643.97,107.5,river
4390851.0,4592343.97,104.9,river
4390851.0,4593043.97,97.8,river
4390851.0,4593743.97,99.6,river
4390851.0,4594443.97,101.9,river
4390851.0,4595143.97,102.1,river
4390851.0,4595843.97,101.7,river
4390851.0,4596543.97,106.2,river
4390851.0,4597243.97,117.5,river
4390851.0,4597943.97,110.1,river
4390851.0,4598643.97,103.5,river
4390851.0,4599343.97,120.0,river
4390851.0,4600043.97,136.6,river
4390851.0,4600743.97,137.7,river
4390851.0,4601443.97,126.2,river
4390851.0,4602143.97,133.7,river
4390851.0,4603543.97,144.2,river
4390851.0,4604243.97,133.4,river
4390851.0,4607043.97,160.6,river
4390851.0,4607743.97,153.9,river
4390851.0,4608443.97,133.7,river
4390851.0,4609143.97,111.9,river
4390851.0,4609843.97,89.6,river
4390851.0,4610543.97,92.0,river
4390851.0,4611243.97,95.1,river
4390851.0,4611943.97,104.0,river
4390851.0,4612643.97,107.4,river
4390851.0,4613343.97,105.5,river
4390851.0,4614043.97,112.0,river
4390851.0,4614743.97,159.6,river
4390851.0,4615443.97,160.6,river
4390851.0,4616143.97,163.5,river
4390851.0,4616843.97,22.1,river
4390851.0,4617543.97,11.7,river
4390851.0,4618243.97,0.2,river
4390851.0,4618943.97,4.4,river
4390851.0,4619643.97,12.9,river
4391551.0,4584643.97,122.4,river
4391551.0,4585343.97,117.5,river
4391551.0,4586043.97,116.4,river
4391551.0,4586743.97,122.6,river
4391551.0,4587443.97,125.1,river
4391551.0,4588143.97,122.1,river
4391551.0,4588843.97,115.9,river
4391551.0,4589543.97,113.6,river
4391551.0,4590243.97,112.1,river
4391551.0,4590943.97,120.7,river
4391551.0,4591643.97,133.9,river
4391551.0,4592343.97,116.7,river
4391551.0,4593043.97,108.1,river
4391551.0,4593743.97,106.0,river
4391551.0,4594443.97,107.5,river
4391551.0,4595143.97,107.7,river
4391551.0,4595843.97,108.9,river
4391551.0,4596543.97,119.9,river
4391551.0,4597243.97,134.8,river
4391551.0,4599343.97,123.7,river
4391551.0,4600043.97,137.8,river
4391551.0,4600743.97,141.4,river
4391551.0,4604243.97,135.6,river
4391551.0,4607043.97,152.9,river
4391551.0,4607743.97,142.5,river
4391551.0,4608443.97,130.6,river
4391551.0,4609143.97,87.9,river
4391551.0,4609843.97,89.5,river
4391551.0,4610543.97,92.4,river
4391551.0,4611243.97,95.5,river
4391551.0,4611943.97,107.1,river
4391551.0,4612643.97,110.2,river
4391551.0,4613343.97,108.3,river
4391551.0,4614043.97,115.4,river
4391551.0,4614743.97,160.3,river
4391551.0,4615443.97,167.0,river
4391551.0,4616143.97,2.2,river
4391551.0,4616843.97,16.0,river
4391551.0,4617543.97,18.0,river
4391551.0,4618243.97,14.6,river
4392251.0,4584643.97,124.4,river
4392251.0,4585343.97,123.9,river
4392251.0,4586043.97,127.9,river
4392251.0,4586743.97,130.3,river
4392251.0,4587443.97,130.0,river
4392251.0,4588143.97,125.7,river
4392251.0,4588843.97,129.6,river
4392251.0,4589543.97,132.0,river
4392251.0,4590243.97,135.7,river
4392251.0,4590943.97,145.5,river
4392251.0,4591643.97,147.3,river
4392251.0,4592343.97,130.2,river
4392251.0,4593043.97,120.7,river
4392251.0,4593743.97,119.6,river
4392251.0,4594443.97,118.0,river
4392251.0,4595143.97,115.9,river
4392251.0,4595843.97,113.7,river
4392251.0,4596543.97,124.9,river
4392251.0,4597243.97,137.6,river
4392251.0,4599343.97,130.6,river
4392251.0,4600743.97,140.0,river
4392251.0,4607743.97,134.2,river
4392251.0,4608443.97,118.1,river
4392251.0,4609143.97,87.5,river
4392251.0,4610543.97,94.6,river
4392251.0,4611243.97,97.6,river
4392251.0,4616843.97,13.4,river
4392251.0,4617543.97,17.3,river
4392251.0,4618243.97,21.7,river
4392251.0,4618943.97,15.7,river
4392951.0,4583943.97,126.0,river
4392951.0,4584643.97,125.6,river
4392951.0,4585343.97,128.7,river
4392951.0,4586043.97,133.3,river
4392951.0,4586743.97,132.3,river
4392951.0,4587443.97,131.4,river
4392951.0,4588143.97,134.8,river
4392951.0,4588843.97,142.6,river
4392951.0,4589543.97,151.3,river
4392951.0,4590243.97,145.8,river
4392951.0,4590943.97,147.9,river
4392951.0,4591643.97,146.2,river
4392951.0,4592343.97,138.7,river
4392951.0,4593043.97,133.5,river
4392951.0,4593743.97,130.2,river
4392951.0,4594443.97,126.3,river
4392951.0,4596543.97,122.3,river
4392951.0,4607043.97,138.8,river
4392951.0,4618243.97,17.0,river
4392951.0,4618943.97,17.1,river
4393651.0,4576943.97,115.0,default
4393651.0,4582543.97,128.5,river
4393651.0,4583243.97,123.9,river
4393651.0,4583943.97,122.4,river
4393651.0,4584643.97,126.0,river
4393651.0,4585343.97,127.6,river
4393651.0,4586043.97,132.6,river
4393651.0,4586743.97,131.0,river
4393651.0,4587443.97,132.0,river
