x_km,y_km,src
8.836,40.933,map1_tophat
8.895,40.934,map1_tophat
8.954,40.934,map1_tophat
9.013,40.935,map1_tophat
9.073,40.935,map1_tophat
9.132,40.936,map1_tophat
9.191,40.937,map1_tophat
9.25,40.937,map1_tophat
9.309,40.938,map1_tophat
9.369,40.939,map1_tophat
9.428,40.939,map1_tophat
9.487,40.94,map1_tophat
9.546,40.941,map1_tophat
9.605,40.941,map1_tophat
9.665,40.942,map1_tophat
9.724,40.942,map1_tophat
9.783,40.943,map1_tophat
9.842,40.944,map1_tophat
9.901,40.944,map1_tophat
9.961,40.945,map1_tophat
10.02,40.946,map1_tophat
8.599,40.83,map1_tophat
8.658,40.831,map1_tophat
8.718,40.832,map1_tophat
8.777,40.832,map1_tophat
8.836,40.833,map1_tophat
8.895,40.834,map1_tophat
8.954,40.834,map1_tophat
9.014,40.835,map1_tophat
9.073,40.835,map1_tophat
9.132,40.836,map1_tophat
9.191,40.837,map1_tophat
9.251,40.837,map1_tophat
9.31,40.838,map1_tophat
9.369,40.839,map1_tophat
9.428,40.839,map1_tophat
9.487,40.84,map1_tophat
9.547,40.841,map1_tophat
9.606,40.841,map1_tophat
9.665,40.842,map1_tophat
9.724,40.842,map1_tophat
9.783,40.843,map1_tophat
8.659,40.731,map1_tophat
8.718,40.732,map1_tophat
8.777,40.732,map1_tophat
8.836,40.733,map1_tophat
8.896,40.734,map1_tophat
8.955,40.734,map1_tophat
9.014,40.735,map1_tophat
9.073,40.735,map1_tophat
9.132,40.736,map1_tophat
9.192,40.737,map1_tophat
9.251,40.737,map1_tophat
9.31,40.738,map1_tophat
9.369,40.739,map1_tophat
9.428,40.739,map1_tophat
9.488,40.74,map1_tophat
9.547,40.741,map1_tophat
9.606,40.741,map1_tophat
9.665,40.742,map1_tophat
9.724,40.742,map1_tophat
8.718,40.632,map1_tophat
8.778,40.632,map1_tophat
8.837,40.633,map1_tophat
8.896,40.634,map1_tophat
8.955,40.634,map1_tophat
9.014,40.635,map1_tophat
9.074,40.635,map1_tophat
9.133,40.636,map1_tophat
9.192,40.637,map1_tophat
9.251,40.637,map1_tophat
9.31,40.638,map1_tophat
8.778,40.532,map1_tophat
8.837,40.533,map1_tophat
8.896,40.534,map1_tophat
8.956,40.534,map1_tophat
9.015,40.535,map1_tophat
9.074,40.536,map1_tophat
9.133,40.536,map1_tophat
9.192,40.537,map1_tophat
9.252,40.537,map1_tophat
8.956,40.434,map1_tophat
9.015,40.435,map1_tophat
9.074,40.436,map1_tophat
9.134,40.436,map1_tophat
3.585,35.977,map1_tophat
3.644,35.978,map1_tophat
3.704,35.979,map1_tophat
3.586,35.877,map1_tophat
3.645,35.878,map1_tophat
2.41,33.665,map1_tophat
2.351,33.564,map1_tophat
2.41,33.565,map1_tophat
2.351,33.464,map1_tophat
2.41,33.465,map1_tophat
2.47,33.466,map1_tophat
4.364,33.486,map1_tophat
4.423,33.486,map1_tophat
4.601,33.488,map1_tophat
2.411,33.365,map1_tophat
2.47,33.366,map1_tophat
2.529,33.366,map1_tophat
2.588,33.367,map1_tophat
4.305,33.385,map1_tophat
4.364,33.386,map1_tophat
4.424,33.387,map1_tophat
4.601,33.388,map1_tophat
4.66,33.389,map1_tophat
2.411,33.265,map1_tophat
2.47,33.266,map1_tophat
2.53,33.266,map1_tophat
2.589,33.267,map1_tophat
2.648,33.268,map1_tophat
2.707,33.268,map1_tophat
4.246,33.285,map1_tophat
4.306,33.285,map1_tophat
4.365,33.286,map1_tophat
4.424,33.287,map1_tophat
4.542,33.288,map1_tophat
4.602,33.288,map1_tophat
4.661,33.289,map1_tophat
2.412,33.165,map1_tophat
2.471,33.166,map1_tophat
2.648,33.168,map1_tophat
2.708,33.168,map1_tophat
2.767,33.169,map1_tophat
3.832,33.18,map1_tophat
3.892,33.181,map1_tophat
4.188,33.184,map1_tophat
4.247,33.185,map1_tophat
4.306,33.185,map1_tophat
4.365,33.186,map1_tophat
4.424,33.187,map1_tophat
4.484,33.187,map1_tophat
4.543,33.188,map1_tophat
4.602,33.188,map1_tophat
4.661,33.189,map1_tophat
2.412,33.065,map1_tophat
2.471,33.066,map1_tophat
2.649,33.068,map1_tophat
