x_km,y_km
9.087,21.237
9.146,21.238
9.205,21.239
5.772,21.102
5.831,21.103
5.891,21.103
9.087,21.137
5.891,21.003
5.95,21.004
9.029,21.037
9.088,21.037
5.951,20.904
6.01,20.905
9.029,20.937
5.951,20.804
6.01,20.805
6.069,20.805
8.97,20.836
9.029,20.837
6.01,20.705
6.07,20.705
6.129,20.706
8.911,20.736
8.971,20.736
6.129,20.606
8.912,20.636
8.971,20.636
6.13,20.506
6.189,20.507
6.248,20.507
8.675,20.533
8.971,20.536
6.189,20.407
6.248,20.407
8.676,20.433
8.972,20.436
9.031,20.437
6.249,20.307
6.308,20.308
8.676,20.333
9.031,20.337
6.308,20.208
6.368,20.209
8.676,20.233
8.736,20.234
9.032,20.237
9.091,20.238
9.15,20.238
6.309,20.108
6.368,20.109
6.427,20.109
8.677,20.133
8.736,20.134
9.15,20.138
9.21,20.139
9.269,20.14
6.368,20.009
6.428,20.009
8.736,20.034
9.21,20.039
9.269,20.04
6.428,19.909
6.487,19.91
8.737,19.934
8.796,19.934
9.21,19.939
6.428,19.809
6.487,19.81
8.796,19.834
8.856,19.835
9.211,19.839
9.27,19.84
6.488,19.71
8.797,19.735
8.856,19.735
8.915,19.736
9.27,19.74
9.33,19.74
6.488,19.61
6.547,19.61
8.915,19.636
8.975,19.636
9.33,19.64
9.389,19.641
10.514,19.653
10.573,19.653
10.632,19.654
10.692,19.655
10.751,19.655
10.81,19.656
6.489,19.51
6.548,19.511
8.975,19.536
9.034,19.537
10.041,19.548
10.1,19.548
10.277,19.55
10.337,19.551
10.396,19.552
10.455,19.552
10.514,19.553
6.548,19.411
6.607,19.411
9.035,19.437
10.1,19.448
10.159,19.449
10.219,19.45
10.278,19.45
10.337,19.451
6.549,19.311
6.608,19.311
9.035,19.337
6.549,19.211
6.608,19.211
9.035,19.237
9.095,19.238
10.515,19.253
6.549,19.111
6.608,19.111
9.036,19.137
9.095,19.138
10.516,19.153
10.575,19.154
6.55,19.011
6.609,19.011
9.095,19.038
10.575,19.054
10.635,19.054
6.55,18.911
6.609,18.911
9.096,18.938
10.576,18.954
10.635,18.954
6.55,18.811
6.61,18.811
9.096,18.838
10.635,18.854
6.551,18.711
6.61,18.711
10.636,18.754
10.695,18.755
6.492,18.61
6.551,18.611
6.61,18.611
9.156,18.638
10.695,18.655
6.552,18.511
6.611,18.511
9.097,18.538
9.156,18.538
10.696,18.555
6.552,18.411
6.611,18.411
9.098,18.438
9.157,18.438
10.696,18.455
6.611,18.311
9.098,18.338
9.157,18.338
10.696,18.355
8.98,18.237
9.039,18.237
9.098,18.238
10.638,18.254
10.697,18.255
8.921,18.136
8.98,18.137
9.039,18.137
10.697,18.155
10.756,18.156
10.816,18.156
8.921,18.036
8.981,18.037
10.816,18.056
10.875,18.057
8.922,17.936
8.981,17.937
10.875,17.957
10.935,17.958
8.922,17.836
8.981,17.837
10.935,17.858
10.994,17.858
11.053,17.859
11.113,17.859
8.982,17.737
9.041,17.737
11.054,17.759
11.113,17.759
8.923,17.636
8.982,17.637
9.041,17.637
11.054,17.659
11.113,17.659
8.864,17.535
8.923,17.536
11.055,17.559
11.114,17.559
8.865,17.435
8.924,17.436
11.055,17.459
11.114,17.459
11.173,17.46
8.865,17.335
11.174,17.36
8.806,17.235
8.865,17.235
11.174,17.26
11.233,17.261
8.806,17.135
8.866,17.135
11.234,17.161
11.293,17.161
8.866,17.035
8.925,17.036
8.984,17.037
11.234,17.061
11.293,17.061
8.985,16.937
9.044,16.937
11.294,16.961
8.985,16.837
9.044,16.837
9.045,16.737
9.045,16.637
8.986,16.537
9.045,16.537
8.987,16.437
9.046,16.437
8.987,16.337
9.046,16.337
9.047,16.238
8.988,16.137
9.047,16.138
8.929,16.036
8.988,16.037
9.047,16.038
9.107,16.038
8.929,15.936
9.048,15.938
9.107,15.938
8.93,15.836
9.048,15.838
8.93,15.736
9.048,15.738
9.108,15.738
8.93,15.636
9.108,15.638
9.167,15.639
8.931,15.536
9.168,15.539
8.931,15.436
8.99,15.437
9.168,15.439
8.932,15.336
8.991,15.337
9.05,15.338
9.168,15.339
9.228,15.34
8.991,15.237
9.05,15.238
9.11,15.238
9.169,15.239
8.873,15.136
8.992,15.137
9.051,15.138
9.11,15.138
9.169,15.139
9.228,15.14
13.491,15.185
13.55,15.186
13.609,15.186
13.668,15.187
13.728,15.188
13.787,15.188
13.846,15.189
13.905,15.19
13.964,15.19
14.024,15.191
14.083,15.191
14.142,15.192
8.814,15.035
8.873,15.036
8.933,15.036
8.992,15.037
9.051,15.038
9.169,15.039
9.229,15.04
9.288,15.04
9.347,15.041
14.024,15.091
14.083,15.091
14.142,15.092
14.202,15.093
14.261,15.093
14.32,15.094
14.379,15.095
14.438,15.095
14.498,15.096
14.557,15.096
8.815,14.935
8.874,14.936
9.288,14.94
9.347,14.941
8.815,14.835
8.874,14.836
9.348,14.841
9.407,14.841
9.466,14.842
9.525,14.843
8.875,14.736
9.348,14.741
9.407,14.741
9.467,14.742
9.526,14.743
9.585,14.743
8.875,14.636
8.934,14.636
8.993,14.637
9.467,14.642
9.526,14.643
8.935,14.536
8.994,14.537
9.053,14.538
9.527,14.543
9.586,14.543
8.994,14.437
9.053,14.438
9.113,14.438
9.586,14.443
9.645,14.444
9.113,14.338
9.172,14.339
9.587,14.343
9.646,14.344
9.705,14.345
9.113,14.238
9.172,14.239
9.646,14.244
9.705,14.245
9.114,14.138
9.173,14.139
9.646,14.144
9.706,14.145
9.114,14.038
9.173,14.039
9.706,14.045
9.765,14.045
9.114,13.938
9.174,13.939
9.766,13.945
9.825,13.946
9.884,13.947
9.943,13.947
10.002,13.948
9.115,13.838
9.174,13.839
9.944,13.847
10.003,13.848
10.062,13.849
10.121,13.849
9.174,13.739
9.234,13.74
10.003,13.748
10.062,13.749
10.122,13.749
10.181,13.75
10.24,13.75
9.175,13.639
9.234,13.64
9.293,13.64
9.352,13.641
10.004,13.648
10.063,13.649
10.122,13.649
10.181,13.65
10.24,13.65
10.3,13.651
10.477,13.653
10.596,13.654
10.655,13.655
10.714,13.656
10.773,13.656
10.832,13.657
10.892,13.657
10.951,13.658
11.128,13.66
11.188,13.661
9.234,13.54
9.294,13.54
9.353,13.541
10.478,13.553
10.537,13.554
10.596,13.554
10.774,13.556
10.892,13.557
10.951,13.558
11.01,13.559
11.07,13.559
11.188,13.561
11.247,13.561
9.235,13.44
9.294,13.44
9.353,13.441
9.412,13.442
10.478,13.453
10.537,13.454
11.011,13.459
11.07,13.459
11.188,13.461
11.248,13.461
11.307,13.462
9.235,13.34
9.294,13.34
9.413,13.342
9.472,13.342
9.531,13.343
11.13,13.36
11.189,13.361
9.235,13.24
9.295,13.24
9.472,13.242
9.531,13.243
9.591,13.244
9.65,13.244
11.13,13.26
11.189,13.261
9.295,13.14
9.65,13.144
9.709,13.145
11.189,13.161
9.236,13.04
11.19,13.061
9.237,12.94
9.296,12.94
11.131,12.96
11.19,12.961
9.237,12.84
9.296,12.84
11.072,12.859
11.131,12.86
9.237,12.74
9.297,12.741
10.954,12.758
11.013,12.759
11.073,12.759
11.132,12.76
9.297,12.641
11.014,12.659
11.073,12.659
11.132,12.66
11.251,12.661
9.297,12.541
11.073,12.559
11.192,12.561
11.251,12.561
9.238,12.44
9.298,12.441
10.955,12.458
11.014,12.459
11.074,12.46
11.133,12.46
11.192,12.461
11.251,12.461
9.239,12.34
9.298,12.341
10.956,12.358
11.015,12.359
11.074,12.36
11.133,12.36
9.298,12.241
9.358,12.241
11.134,12.26
11.193,12.261
9.299,12.141
9.358,12.141
11.193,12.161
11.252,12.161
9.181,12.039
9.24,12.04
9.299,12.041
11.134,12.06
11.194,12.061
9.181,11.939
9.24,11.94
11.135,11.96
11.194,11.961
11.253,11.961
9.181,11.839
9.241,11.84
9.3,11.841
11.135,11.86
11.254,11.861
11.313,11.862
9.063,11.738
9.182,11.739
9.241,11.74
9.3,11.741
11.076,11.76
11.135,11.76
11.313,11.762
9.064,11.638
9.123,11.639
9.182,11.639
9.241,11.64
11.195,11.661
11.313,11.662
11.373,11.663
9.064,11.538
9.123,11.539
9.183,11.539
9.242,11.54
9.301,11.541
9.36,11.541
9.419,11.542
11.136,11.56
11.195,11.561
11.255,11.562
11.373,11.563
12.202,11.572
8.946,11.437
9.005,11.438
9.065,11.438
9.183,11.439
9.242,11.44
9.301,11.441
9.361,11.441
9.42,11.442
9.479,11.443
11.077,11.46
11.137,11.46
11.196,11.461
11.255,11.462
11.314,11.462
11.373,11.463
11.433,11.463
11.492,11.464
11.551,11.465
11.61,11.465
11.669,11.466
12.143,11.471
12.202,11.472
12.261,11.472
12.321,11.473
12.38,11.474
8.947,11.337
9.006,11.338
9.302,11.341
9.361,11.341
9.42,11.342
11.137,11.36
11.196,11.361
11.255,11.362
11.611,11.365
11.67,11.366
11.729,11.367
11.788,11.367
12.025,11.37
12.084,11.37
12.143,11.371
