pt,X_GK,Y_GK,x_km,y_km
2041,4395688.87,4592606.65,13.937870000000112,16.362680000000633
2042,4395648.47,4592694.62,13.897469999999739,16.450650000000373
2043,4395608.07,4592606.65,13.857070000000299,16.362680000000633
2044,4395567.67,4592694.62,13.816669999999926,16.450650000000373
2045,4395527.27,4592694.62,13.776269999999553,16.450650000000373
2046,4395486.87,4592606.65,13.735870000000112,16.362680000000633
2047,4395446.47,4592606.65,13.69546999999974,16.362680000000633
2048,4395406.07,4592606.65,13.655070000000299,16.362680000000633
2049,4395365.67,4592606.65,13.614669999999926,16.362680000000633
2050,4395325.27,4592606.65,13.574269999999553,16.362680000000633
2051,4395284.87,4592606.65,13.533870000000112,16.362680000000633
2052,4395244.47,4592694.62,13.49346999999974,16.450650000000373
2053,4395204.07,4592694.62,13.453070000000299,16.450650000000373
2054,4395163.67,4592694.62,13.412669999999926,16.450650000000373
2055,4395123.27,4592694.62,13.372269999999553,16.450650000000373
2056,4395082.87,4592694.62,13.331870000000112,16.450650000000373
2057,4395042.47,4592694.62,13.29146999999974,16.450650000000373
2058,4395002.07,4592694.62,13.251070000000299,16.450650000000373
2059,4394961.67,4592694.62,13.210669999999926,16.450650000000373
2060,4394921.27,4592694.62,13.170269999999553,16.450650000000373
2061,4394880.87,4592694.62,13.129870000000112,16.450650000000373
2062,4394840.47,4592694.62,13.08946999999974,16.450650000000373
2063,4394800.07,4592694.62,13.049070000000299,16.450650000000373
2064,4394759.67,4592782.59,13.008669999999926,16.538620000000112
2065,4394759.67,4592870.56,13.008669999999926,16.62658999999985
2066,4394719.27,4592782.59,12.968269999999553,16.538620000000112
2067,4394678.88,4592870.56,12.927879999999888,16.62658999999985
2068,4394638.48,4592870.56,12.887480000000448,16.62658999999985
2069,4394598.08,4592870.56,12.847080000000075,16.62658999999985
2070,4394557.68,4592958.53,12.806679999999702,16.71456000000052
2071,4394517.28,4592958.53,12.766280000000261,16.71456000000052
2072,4394476.88,4593046.51,12.725879999999888,16.802540000000036
2073,4394436.48,4593046.51,12.685480000000448,16.802540000000036
2074,4394396.08,4593046.51,12.645080000000075,16.802540000000036
2075,4394355.68,4593134.48,12.604679999999702,16.89051000000071
2076,4394315.28,4593134.48,12.564280000000261,16.89051000000071
2077,4394274.88,4593222.45,12.523879999999888,16.97848000000045
2078,4394234.48,4593222.45,12.483480000000448,16.97848000000045
2079,4394194.08,4593310.42,12.443080000000075,17.066450000000188
2080,4394153.68,4593310.42,12.402679999999702,17.066450000000188
2081,4394113.28,4593398.39,12.362280000000261,17.154419999999927
2082,4394072.88,4593398.39,12.321879999999888,17.154419999999927
2083,4394032.48,4593486.36,12.281480000000448,17.242390000000597
2084,4393992.08,4593574.33,12.241080000000075,17.330360000000336
2085,4393951.68,4593574.33,12.200679999999702,17.330360000000336
2086,4393911.28,4593662.3,12.160280000000261,17.418330000000076
2087,4393870.88,4593750.28,12.119879999999888,17.50631000000052
2088,4393830.48,4593750.28,12.079480000000448,17.50631000000052
2089,4393790.08,4593838.25,12.039080000000075,17.59428000000026
2090,4393749.68,4593926.22,11.998679999999702,17.68225
2091,4393709.28,4593926.22,11.958280000000261,17.68225
2092,4393668.88,4594014.19,11.917879999999888,17.77022000000067
2093,4393668.88,4594102.16,11.917879999999888,17.85819000000041
2094,4393628.49,4594102.16,11.877490000000224,17.85819000000041
2095,4393588.09,4594102.16,11.83708999999985,17.85819000000041
2096,4393547.69,4594190.13,11.79669000000041,17.946160000000148
2097,4393507.29,4594190.13,11.756290000000037,17.946160000000148
2098,4393466.89,4594278.1,11.715889999999664,18.034129999999887
2099,4393426.49,4594366.08,11.675490000000224,18.122110000000337
2100,4393386.09,4594366.08,11.63508999999985,18.122110000000337
