mode,fold,Well_ID,logK_obs,logK_pred,logK_sd,h_obs,h_pred,h_sd,cov90_K,cov90_h
+L7,4,A17,4.60517018598809,4.53227825164795,0.0860123254571365,25,24.9759949366252,1.73027302272712,1,1
+L7,4,A24,3.91202300542815,3.98280162016551,0.0907626318113311,35,32.5217913309733,1.4547028192557,1,0
+L7,5,P4,5.29831736654804,5.29552593231201,0.0749664530356619,36,32.6072724024455,1.84526031358526,1,0
+L7,5,P17,5.29831736654804,4.06903592745463,0.0900836107951827,25,33.1279036839803,1.6831000584299,0,0
+L7,5,P20,4.60517018598809,4.48779333432516,0.079731089492087,20,17.3200451533,1.76035083870106,1,1
+L7,5,R16,4.60517018598809,4.58379564285278,0.0944960829086196,26,21.2304262797038,1.71446556191388,1,0
+L7,5,A5,5.29831736654804,5.2112824122111,0.121862332899365,40,32.1784210205078,1.57029506224924,1,0
+L7,5,A10,5.29831736654804,4.08655620416005,0.105539108059798,25,32.6564670562744,1.55222332364175,0,0
+L7,5,A13,4.60517018598809,4.12892235914866,0.11206430205362,25,31.4547850926717,1.60406386103847,0,0
+L5+L6,1,P3,5.29831736654804,5.15450698534648,0.0744451405496561,24,31.5978396733602,1.6475136053687,0,0
+L5+L6,1,P5,5.29831736654804,5.19750138918559,0.0551507188738548,38,32.9573389053345,1.75093328204135,0,0
+L5+L6,1,P10,5.29831736654804,5.09774130185445,0.054327974482646,37,32.5548744837443,1.67501533599343,0,0
+L5+L6,1,P12,3.91202300542815,5.06099190711975,0.092390623819211,25,32.2682240804036,1.73076687505132,0,0
+L5+L6,1,P19,4.86753445045558,4.6242022673289,0.0735218053434775,4,9.16124149958293,1.92427077480763,0,0
+L5+L6,1,R8,4.86753445045558,4.48170307477315,0.0761383996656441,10,15.0390995979309,1.69007226438024,0,0
+L5+L6,1,A4,5.29831736654804,5.17917076746623,0.0574277133152433,26,32.2805508295695,1.65855396912999,0,0
+L5+L6,1,A23,3.91202300542815,4.18086128234863,0.0644339579275984,45,31.7853661855062,2.4201501145808,0,0
+L5+L6,2,P13,3.91202300542815,4.19457054138184,0.0647323942658276,35,31.6860972086589,1.73862030484047,0,0
+L5+L6,2,P21,4.60517018598809,4.48065438270569,0.0545498245420558,32,25.6280452092489,1.77072878339421,0,0
+L5+L6,2,R12,4.60517018598809,4.57488079071045,0.055805542381798,20,15.6175990104675,1.68301949260121,1,0
+L5+L6,2,R15,4.60517018598809,4.52320532798767,0.0602215161044674,20,18.3786686897278,1.51403759816565,1,1
+L5+L6,2,A1,5.29831736654804,5.11990302403768,0.0600783144562399,38,32.630863126119,1.91403528614476,0,0
+L5+L6,2,A18,3.91202300542815,4.56144646008809,0.06897873401076,15,17.3730444908142,1.64845553295335,0,1
+L5+L6,2,A25,3.91202300542815,4.4036322593689,0.0713364557847613,25,31.758823076884,1.78348846653609,0,0
+L5+L6,2,A30,5.29831736654804,5.1396577835083,0.0652696903309337,36,32.482143274943,1.75626190293729,0,0
+L5+L6,3,P9,5.01063529409626,4.71890056927999,0.0687354104952552,40,32.5664573669434,1.53498364944791,0,0
+L5+L6,3,P15,3.91202300542815,4.2567211151123,0.0645195570147952,45,32.7974232355754,1.6227248386473,0,0
+L5+L6,3,A3,5.29831736654804,5.16495102246602,0.0647700717609491,14,32.0616701761882,1.41512028260057,0,0
+L5+L6,3,A9,5.29831736654804,5.08981467882792,0.0667262944321605,30,32.3423025767008,1.79954597181159,0,1
+L5+L6,3,A20,4.60517018598809,4.39611372947693,0.0626687600917232,25,29.4052714665731,1.52166030274451,0,0
